Sample_ID	Strain_name	Trial_Type	Trial_Type_unique	Growth_rate	Association	Sanger_genus	Isolate_source
BTF_020	Cadophora (str. BTF_020)	Bd plate	Bd plate replicate 1	0.024872159	habitat	Cadophora	Eggs
BTF_020	Cadophora (str. BTF_020)	Bd plate	Bd plate replicate 2	0.059928977	habitat	Cadophora	Eggs
BTF_020	Cadophora (str. BTF_020)	Control (no Bd) plate	Control (no Bd) plate replicate 1	0.104346591	habitat	Cadophora	Eggs
BTF_020	Cadophora (str. BTF_020)	Control (no Bd) plate	Control (no Bd) plate replicate 2	0.060255682	habitat	Cadophora	Eggs
BTF_022	Cladosporium (str. BTF_022)	Bd plate	Bd plate replicate 1	0.070838068	host	Cladosporium	Eggs
BTF_022	Cladosporium (str. BTF_022)	Bd plate	Bd plate replicate 2	0.044957386	host	Cladosporium	Eggs
BTF_022	Cladosporium (str. BTF_022)	Control (no Bd) plate	Control (no Bd) plate replicate 1	0.158877841	host	Cladosporium	Eggs
BTF_022	Cladosporium (str. BTF_022)	Control (no Bd) plate	Control (no Bd) plate replicate 2	0.099034091	host	Cladosporium	Eggs
BTF_024	Cladosporium (str. BTF_024)	Bd plate	Bd plate replicate 1	0.436761364	host	Cladosporium	Eggs
BTF_024	Cladosporium (str. BTF_024)	Bd plate	Bd plate replicate 2	0.389730114	host	Cladosporium	Eggs
BTF_024	Cladosporium (str. BTF_024)	Control (no Bd) plate	Control (no Bd) plate replicate 1	0.314318182	host	Cladosporium	Eggs
BTF_024	Cladosporium (str. BTF_024)	Control (no Bd) plate	Control (no Bd) plate replicate 2	0.194701705	host	Cladosporium	Eggs
BTF_106	Cladosporium (str. BTF_106)	Bd plate	Bd plate replicate 1	0.090113636	host	Cladosporium	Metamorph
BTF_106	Cladosporium (str. BTF_106)	Bd plate	Bd plate replicate 2	0.095189394	host	Cladosporium	Metamorph
BTF_106	Cladosporium (str. BTF_106)	Control (no Bd) plate	Control (no Bd) plate replicate 1	0.04	host	Cladosporium	Metamorph
BTF_106	Cladosporium (str. BTF_106)	Control (no Bd) plate	Control (no Bd) plate replicate 2	0.14375	host	Cladosporium	Metamorph
BTF_117	Cladosporium (str. BTF_117)	Bd plate	Bd plate replicate 1	0.071079545	host	Cladosporium	Subadult
BTF_117	Cladosporium (str. BTF_117)	Bd plate	Bd plate replicate 2	0.115056818	host	Cladosporium	Subadult
BTF_117	Cladosporium (str. BTF_117)	Control (no Bd) plate	Control (no Bd) plate replicate 1	0.092670455	host	Cladosporium	Subadult
BTF_117	Cladosporium (str. BTF_117)	Control (no Bd) plate	Control (no Bd) plate replicate 2	0.075909091	host	Cladosporium	Subadult
BTF_149	Cladosporium (str. BTF_149)	Bd plate	Bd plate replicate 1	0.134393939	host	Cladosporium	Adult
BTF_149	Cladosporium (str. BTF_149)	Bd plate	Bd plate replicate 2	0.182575758	host	Cladosporium	Adult
BTF_149	Cladosporium (str. BTF_149)	Control (no Bd) plate	Control (no Bd) plate replicate 1	0.160643939	host	Cladosporium	Adult
BTF_149	Cladosporium (str. BTF_149)	Control (no Bd) plate	Control (no Bd) plate replicate 2	0.149318182	host	Cladosporium	Adult
BTF_127	Geomyces  (str. BTF_127)	Bd plate	Bd plate replicate 1	0.064375	habitat	Geomyces 	Subadult
BTF_127	Geomyces  (str. BTF_127)	Bd plate	Bd plate replicate 2	0.053039773	habitat	Geomyces 	Subadult
BTF_127	Geomyces  (str. BTF_127)	Control (no Bd) plate	Control (no Bd) plate replicate 1	0.066818182	habitat	Geomyces 	Subadult
BTF_127	Geomyces  (str. BTF_127)	Control (no Bd) plate	Control (no Bd) plate replicate 2	0.074573864	habitat	Geomyces 	Subadult
BTF_060	Helotiales (str. BTF_060)	Bd plate	Bd plate replicate 1	0.000427489	host	Helotiales	Eggs
BTF_060	Helotiales (str. BTF_060)	Bd plate	Bd plate replicate 2	0.000227273	host	Helotiales	Eggs
BTF_060	Helotiales (str. BTF_060)	Control (no Bd) plate	Control (no Bd) plate replicate 1	0.004296537	host	Helotiales	Eggs
BTF_060	Helotiales (str. BTF_060)	Control (no Bd) plate	Control (no Bd) plate replicate 2	0.003116883	host	Helotiales	Eggs
BTF_071	Mortierella  (str. BTF_071)	Bd plate	Bd plate replicate 1	0.332883523	habitat	Mortierella 	Eggs
