Sample_ID	Strain_name	Association	Sanger_genus	Sample_type	Value	Isolate_source
BTF_019	Pseudeurotium (str. BTF_019)	habitat	Pseudeurotium	Measure_day8.1	37	Eggs
BTF_020	Cadophora (str. BTF_020)	habitat	Cadophora	Measure_day8.1	0	Eggs
BTF_022	Cladosporium (str. BTF_022)	host	Cladosporium	Measure_day8.1	0	Eggs
BTF_024	Cladosporium (str. BTF_024)	host	Cladosporium	Measure_day8.1	0	Eggs
BTF_036	Neobulgaria (str. BTF_036)	habitat	Neobulgaria	Measure_day8.1	40	Eggs
BTF_038	Neobulgaria (str. BTF_038)	habitat	Neobulgaria	Measure_day8.1	26	Eggs
BTF_054	Pseudeurotium (str. BTF_054)	habitat	Pseudeurotium	Measure_day8.1	85	Eggs
BTF_060	Helotiales (str. BTF_060)	host	Helotiales	Measure_day8.1	0	Eggs
BTF_071	Mortierella  (str. BTF_071)	habitat	Mortierella 	Measure_day8.1	0	Eggs
BTF_103	Pseudeurotium (str. BTF_103)	habitat	Pseudeurotium	Measure_day8.1	76	Tadpole
BTF_104	Mortierella (str. BTF_104)	habitat	Mortierella	Measure_day8.1	0	Tadpole
BTF_106	Cladosporium (str. BTF_106)	host	Cladosporium	Measure_day8.1	0	Metamorph
BTF_117	Cladosporium (str. BTF_117)	host	Cladosporium	Measure_day8.1	0	Subadult
BTF_124	Phaeosphaeria (str. BTF_124)	host	Phaeosphaeria	Measure_day8.1	0	Subadult
BTF_127	Geomyces  (str. BTF_127)	habitat	Geomyces 	Measure_day8.1	0	Subadult
BTF_149	Cladosporium (str. BTF_149)	host	Cladosporium	Measure_day8.1	0	Adult
BTF_019	Pseudeurotium (str. BTF_019)	habitat	Pseudeurotium	Measure_day8.2	37	Eggs
BTF_020	Cadophora (str. BTF_020)	habitat	Cadophora	Measure_day8.2	0	Eggs
BTF_022	Cladosporium (str. BTF_022)	host	Cladosporium	Measure_day8.2	0	Eggs
BTF_024	Cladosporium (str. BTF_024)	host	Cladosporium	Measure_day8.2	0	Eggs
BTF_036	Neobulgaria (str. BTF_036)	habitat	Neobulgaria	Measure_day8.2	34	Eggs
BTF_038	Neobulgaria (str. BTF_038)	habitat	Neobulgaria	Measure_day8.2	23	Eggs
BTF_054	Pseudeurotium (str. BTF_054)	habitat	Pseudeurotium	Measure_day8.2	72	Eggs
BTF_060	Helotiales (str. BTF_060)	host	Helotiales	Measure_day8.2	0	Eggs
BTF_071	Mortierella  (str. BTF_071)	habitat	Mortierella 	Measure_day8.2	0	Eggs
BTF_103	Pseudeurotium (str. BTF_103)	habitat	Pseudeurotium	Measure_day8.2	70	Tadpole
BTF_104	Mortierella (str. BTF_104)	habitat	Mortierella	Measure_day8.2	0	Tadpole
BTF_106	Cladosporium (str. BTF_106)	host	Cladosporium	Measure_day8.2	0	Metamorph
BTF_117	Cladosporium (str. BTF_117)	host	Cladosporium	Measure_day8.2	0	Subadult
BTF_124	Phaeosphaeria (str. BTF_124)	host	Phaeosphaeria	Measure_day8.2	0	Subadult
BTF_127	Geomyces  (str. BTF_127)	habitat	Geomyces 	Measure_day8.2	0	Subadult
BTF_149	Cladosporium (str. BTF_149)	host	Cladosporium	Measure_day8.2	0	Adult
