Sample_ID	Isolate_source	value	Sanger_genus
BTF_10	Eggs	1	Patinella
BTF_100	Tadpole	1	Cladosporium
BTF_101	Tadpole	1	Cladosporium
BTF_102	Tadpole	1	Penicillium
BTF_103	Tadpole	1	Pseudeurotium
BTF_104	Tadpole	1	Mortierella
BTF_105	Tadpole	1	Pseudeurotium
BTF_106	Metamorph	1	Cladosporium
BTF_108	Metamorph	1	Cladosporium
BTF_11	Eggs	1	Cladosporium
BTF_110	Metamorph	1	Cladosporium
BTF_111	Metamorph	1	Microdochium
BTF_112	Metamorph	1	Cladosporium
BTF_113	Metamorph	1	Cladosporium
BTF_114	Metamorph	1	Cladosporium
BTF_115	Metamorph	1	Cladosporium
BTF_117	Subadult	1	Cladosporium
BTF_118	Subadult	1	Vishniacozyma
BTF_119	Subadult	1	Penicillium
BTF_120	Subadult	1	Cadophora
BTF_121	Subadult	1	Pseudogymnoascus
BTF_122	Subadult	1	Cladosporium
BTF_123	Subadult	1	Neostagonospora
BTF_124	Subadult	1	Phaeosphaeria
BTF_125	Subadult	1	Vishniacozyma
BTF_126	Subadult	1	Ustilentyloma
BTF_127	Subadult	1	Geomyces
BTF_128	Subadult	1	Phaeosphaeria
BTF_129	Subadult	1	Rutola
BTF_13	Eggs	1	Unknown (bad hit)
BTF_130	Subadult	1	Didymella
BTF_131	Adult	1	Vishniacozyma
BTF_132	Adult	1	Cladosporium
BTF_133	Adult	1	Cladosporium
BTF_135	Adult	1	Dioszegia
BTF_137	Adult	1	Cladosporium
BTF_138	Adult	1	Cladosporium
BTF_139	Adult	1	Fusarium
BTF_14	Eggs	1	Trichoderma
BTF_140	Adult	1	Phaeosphaeria
BTF_141	Adult	1	Physalospora
BTF_144	Adult	1	Pseudogymnoascus
BTF_145	Adult	1	Cladosporium
BTF_146	Adult	1	Cladosporium
BTF_147	Adult	1	Vishniacozyma
BTF_148	Adult	1	Ramularia
BTF_149	Adult	1	Cladosporium
BTF_15	Eggs	1	Cladosporium
BTF_150	Adult	1	Lachnellula
BTF_151	Adult	1	Ambomucor
BTF_17	Eggs	1	Pseudocamarosporium
BTF_18	Eggs	1	Phaeosphaeria
BTF_19	Eggs	1	Pseudeurotium
BTF_20	Eggs	1	Cadophora
BTF_22	Eggs	1	Cladosporium
BTF_24	Eggs	1	Cladosporium
BTF_25	Eggs	1	Dioszegia
BTF_26	Eggs	1	Cadophora
BTF_27	Eggs	1	Cytospora
BTF_28	Eggs	1	Patinella
BTF_3	Eggs	1	Phaeosphaeria
BTF_30	Eggs	1	Phaeosphaeria
BTF_31	Eggs	1	Septocylindrium
BTF_32	Eggs	1	Cadophora
BTF_33	Eggs	1	Cudoniella
BTF_34	Eggs	1	Helotiales
BTF_35	Eggs	1	Penicillium
BTF_36	Eggs	1	Neobulgaria
BTF_37	Eggs	1	Neobulgaria
BTF_38	Eggs	1	Neobulgaria
BTF_39	Eggs	1	Helotiales
BTF_40	Eggs	1	Cladosporium
BTF_41	Eggs	1	Vishniacozyma
BTF_42	Eggs	1	Mucor
BTF_43	Eggs	1	Helotiales
BTF_44	Eggs	1	Cadophora
BTF_45	Eggs	1	Vishniacozyma
BTF_46	Eggs	1	Ciliciopodium
BTF_47	Eggs	1	Cadophora
BTF_48	Eggs	1	Patinella
BTF_49	Eggs	1	Cadophora
BTF_5	Eggs	1	Dioszegia
BTF_50	Eggs	1	Patinella
BTF_51	Eggs	1	Cadophora
BTF_52	Eggs	1	Periconia
BTF_53	Eggs	1	Strickeria
BTF_54	Eggs	1	Pseudeurotium
BTF_55	Eggs	1	Pseudeurotium
BTF_59	Eggs	1	Pseudozyma
BTF_60	Eggs	1	Unknown (bad hit)
BTF_62	Eggs	1	Dimorphospora
BTF_63	Eggs	1	Acanthophysellum
BTF_65	Eggs	1	Penicillium
BTF_66	Eggs	1	Patinella
BTF_67	Eggs	1	Mucor
BTF_68	Eggs	1	Cryptococcus
BTF_69	Eggs	1	Cadophora
BTF_7	Eggs	1	Mortierella
BTF_71	Eggs	1	Mortierella
BTF_72	Eggs	1	Cadophora
BTF_73	Eggs	1	Cadophora
BTF_75	Eggs	1	Cosmospora
BTF_76	Eggs	1	Patinella
BTF_77	Eggs	1	Pseudogymnoascus
BTF_78	Eggs	1	Pseudogymnoascus
BTF_8	Eggs	1	Cladosporium
BTF_80	Eggs	1	Penicillium
BTF_81	Eggs	1	Cladosporium
BTF_82	Eggs	1	Cladosporium
BTF_83	Eggs	1	Cladosporium
BTF_84	Eggs	1	Penicillium
BTF_85	Eggs	1	Neobulgaria
BTF_86	Eggs	1	Unknown (bad hit)
BTF_87	Eggs	1	Penicillium
BTF_89	Eggs	1	Cladosporium
BTF_9	Eggs	1	Vishniacozyma
BTF_91	Eggs	1	Ascocoryne
BTF_92	Eggs	1	Ciliciopodium
BTF_93	Eggs	1	Cladosporium
BTF_99	Eggs	1	Pseudogymnoascus
