Strain_name	pvalue_ttest	t	mean of the differences	stderr
1	Pseudeurotium..str..BTF_019.	0.826775350431974	-0.279020996923077	-0.005667614	0.0203125
2	Cadophora..str..BTF_020.	0.497382986126093	-1.00825557504639	-0.0399005685	0.0395738635
3	Cladosporium..str..BTF_022.	0.149338768980244	-4.18444170002545	-0.071058239	0.016981534
4	Cladosporium..str..BTF_024.	0.143094242995225	4.37377692570969	0.1587357955	0.0362926135
5	Neobulgaria..str..BTF_036.	0.0759653736006961	8.34058096332718	0.016349432	0.00196022700000001
6	Neobulgaria..str..BTF_038.	0.350925287147142	-1.62654042580083	-0.089055398	0.05475142
7	Pseudeurotium..str..BTF_054.	0.415729327678353	-1.30720604814615	-0.0440624995	0.0337073865
8	Helotiales..str..BTF_060.	0.091618622976514	-6.9005470484094	-0.003379329	0.000489719
9	Mortierella...str..BTF_071.	0.764154989651881	-0.388397608678977	-0.0595809655	0.1534019885
10	Pseudeurotium..str..BTF_103.	0.704678432042967	0.500303068203382	0.0293110795	0.0585866475
11	Mortierella..str..BTF_104.	0.367418938395944	-1.53588858488182	-0.0916406255	0.0596661935
12	Cladosporium..str..BTF_106.	0.989981093753898	0.0157389605283211	0.000776515000000002	0.049337121
13	Cladosporium..str..BTF_117.	0.820864320588786	0.289055169282116	0.0087784085	0.0303693185
14	Phaeosphaeria..str..BTF_124.	0.407137294787495	1.34442362061856	0.040752841	0.0303125
15	Geomyces...str..BTF_127.	0.428078912491363	-1.25595240121882	-0.0119886365	0.0095454545
16	Cladosporium..str..BTF_149.	0.925375721058425	0.117759392518357	0.00350378799999999	0.029753788
